"Setup Grp. From","Plant","Plant Name","Setup Grp. To","Duration","SKU_from","SKU_to","volume_SKU_to","volume_SKU_from","weighted_mean","weighted_dev","Syrup #Components","SetupMin","SetupMax"
"200026","0281","Köln","200061",30,"9LSSTKR1X1 Mezzo Speciality Mix POM","9LSSTKR1X1 Coke lt POM",1283,1031,7.31384130734397,7.25434011711074,4,30,30
"200026","0281","Köln","200010",180,"9LSSTKR1X1 Mezzo Speciality Mix POM","18LSSTKR1X1 Kinley Club Soda POM",1968,1031,7.31384130734397,7.25434011711074,4,30,30
"200026","0281","Köln","201054",180,"9LSSTKR1X1 Mezzo Speciality Mix POM","9LSSTKR1X1 MM ORG 30 (NEC) POM",2589,1031,7.31384130734397,7.25434011711074,4,30,30
"200026","0281","Köln","202992",30,"9LSSTKR1X1 Mezzo Speciality Mix POM","9LSSTKR1X1 FANTA SPLSH ORG POM",3227,1031,7.31384130734397,7.25434011711074,4,30,30
"200026","0281","Köln","201032",180,"9LSSTKR1X1 Mezzo Speciality Mix POM","9LSSTKR1X1 Lift Apl POM",2928,1031,7.31384130734397,7.25434011711074,4,30,30
"200026","0281","Köln","200026",0,"9LSSTKR1X1 Mezzo Speciality Mix POM","9LSSTKR1X1 Mezzo Speciality Mix POM",1031,1031,7.31384130734397,7.25434011711074,4,30,30
"200026","0281","Köln","200019",30,"9LSSTKR1X1 Mezzo Speciality Mix POM","9LSSTKR1X1 Sprite POM",3791,1031,7.31384130734397,7.25434011711074,4,30,30
"200027","0281","Köln","201032",180,"9LSSTKR1X1 Coke Zero POM","9LSSTKR1X1 Lift Apl POM",2928,1037,7.31325063988974,7.25488122098512,5,30,30
"200027","0281","Köln","200019",30,"9LSSTKR1X1 Coke Zero POM","9LSSTKR1X1 Sprite POM",3791,1037,7.31325063988974,7.25488122098512,5,30,30
"200027","0281","Köln","200010",180,"9LSSTKR1X1 Coke Zero POM","18LSSTKR1X1 Kinley Club Soda POM",1968,1037,7.31325063988974,7.25488122098512,5,30,30
"200027","0281","Köln","200027",0,"9LSSTKR1X1 Coke Zero POM","9LSSTKR1X1 Coke Zero POM",1037,1037,7.31325063988974,7.25488122098512,5,30,30
"200027","0281","Köln","201055",180,"9LSSTKR1X1 Coke Zero POM","9LSSTKR1X1 MM Apl Jc 100 POM",1899,1037,7.31325063988974,7.25488122098512,5,30,30
"200027","0281","Köln","202992",30,"9LSSTKR1X1 Coke Zero POM","9LSSTKR1X1 FANTA SPLSH ORG POM",3227,1037,7.31325063988974,7.25488122098512,5,30,30
"200027","0281","Köln","200026",30,"9LSSTKR1X1 Coke Zero POM","9LSSTKR1X1 Mezzo Speciality Mix POM",1031,1037,7.31325063988974,7.25488122098512,5,30,30
"200027","0281","Köln","201056",180,"9LSSTKR1X1 Coke Zero POM","9LSSTKR1X1 MM Frt Pnch (Nec) POM",602,1037,7.31325063988974,7.25488122098512,5,30,30
"200027","0281","Köln","200007",30,"9LSSTKR1X1 Coke Zero POM","18LSSTKR1X1 Coke POM",3598,1037,7.31325063988974,7.25488122098512,5,30,30
"200027","0281","Köln","200008",30,"9LSSTKR1X1 Coke Zero POM","9LSSTKR1X1 Coke POM",1442,1037,7.31325063988974,7.25488122098512,5,30,30
"200027","0281","Köln","200061",30,"9LSSTKR1X1 Coke Zero POM","9LSSTKR1X1 Coke lt POM",1283,1037,7.31325063988974,7.25488122098512,5,30,30
"200027","0281","Köln","201054",180,"9LSSTKR1X1 Coke Zero POM","9LSSTKR1X1 MM ORG 30 (NEC) POM",2589,1037,7.31325063988974,7.25488122098512,5,30,30
"200029","0280","Lüneburg","200030",120,"1.5LPLBTN1X6 VIO BY APOLLINARIS","500MLPLBTN18X1 VIO BY APOLLINARIS",549288,1162496,6.44732213933031,6.94812199940889,NA,40,120
"200029","0280","Lüneburg","202726",120,"1.5LPLBTN1X6 VIO BY APOLLINARIS","500MLPLBTN18X1 VIOSPRITZIG",238752,1162496,6.44732213933031,6.94812199940889,NA,40,120
"200029","0280","Lüneburg","200479",40,"1.5LPLBTN1X6 VIO BY APOLLINARIS","1.5LPLBTN6X40 VIO BY APOLLINARIS",36256,1162496,6.44732213933031,6.94812199940889,NA,40,120
"200029","0280","Lüneburg","200032",40,"1.5LPLBTN1X6 VIO BY APOLLINARIS","1.5LPLBTN6X1 VIO BY APOLLINARIS",1498728,1162496,6.44732213933031,6.94812199940889,NA,40,120
"200029","0280","Lüneburg","201633",120,"1.5LPLBTN1X6 VIO BY APOLLINARIS","500MLPLBTN18X1 VIO BY APOLINRISMDM(CARB)",1222632,1162496,6.44732213933031,6.94812199940889,NA,40,120
"200029","0280","Lüneburg","201652",120,"1.5LPLBTN1X6 VIO BY APOLLINARIS","1.5LPLBTN1X6 VIO BY APOLINRISMDM(CARB)",282688,1162496,6.44732213933031,6.94812199940889,NA,40,120
"200029","0280","Lüneburg","202725",120,"1.5LPLBTN1X6 VIO BY APOLLINARIS","1LPLBTN6X1 VIO BY APOLINRISMDM(CARB)",102228,1162496,6.44732213933031,6.94812199940889,NA,40,120
"200029","0280","Lüneburg","201636",120,"1.5LPLBTN1X6 VIO BY APOLLINARIS","1.5LPLBTN6X1 VIO BY APOLINRISMDM(CARB)",768056,1162496,6.44732213933031,6.94812199940889,NA,40,120
"200029","0280","Lüneburg","203487",70,"1.5LPLBTN1X6 VIO BY APOLLINARIS","1.5LPLBTN6X1 VIOSPRITZIG",116060,1162496,6.44732213933031,6.94812199940889,NA,40,120
"200029","0280","Lüneburg","200029",0,"1.5LPLBTN1X6 VIO BY APOLLINARIS","1.5LPLBTN1X6 VIO BY APOLLINARIS",1162496,1162496,6.44732213933031,6.94812199940889,NA,40,120
"200029","0280","Lüneburg","202723",120,"1.5LPLBTN1X6 VIO BY APOLLINARIS","1LPLBTN6X1 VIO BY APOLLINARIS",219828,1162496,6.44732213933031,6.94812199940889,NA,40,120
"200029","0280","Lüneburg","200030",120,"1.5LPLBTN1X6 VIO BY APOLLINARIS","500MLPLBTN18X1 VIO BY APOLLINARIS",1234224,1162496,6.44732213933031,6.94812199940889,NA,40,120
"200029","0280","Lüneburg","203490",70,"1.5LPLBTN1X6 VIO BY APOLLINARIS","1.5LPLBTN1X6 VIOSPRITZIG",57664,1162496,6.44732213933031,6.94812199940889,NA,40,120
"200030","0280","Lüneburg","202726",70,"500MLPLBTN18X1 VIO BY APOLLINARIS","500MLPLBTN18X1 VIOSPRITZIG",238752,549288,2.09406719024521,2.91201956276756,NA,70,150
"200030","0280","Lüneburg","202726",70,"500MLPLBTN18X1 VIO BY APOLLINARIS","500MLPLBTN18X1 VIOSPRITZIG",238752,549288,2.09406719024521,2.91201956276756,NA,90,150
"200030","0280","Lüneburg","202726",70,"500MLPLBTN18X1 VIO BY APOLLINARIS","500MLPLBTN18X1 VIOSPRITZIG",238752,1234224,2.09406719024521,2.91201956276756,NA,70,150
"200030","0280","Lüneburg","202726",70,"500MLPLBTN18X1 VIO BY APOLLINARIS","500MLPLBTN18X1 VIOSPRITZIG",238752,1234224,2.09406719024521,2.91201956276756,NA,90,150
"200030","0280","Lüneburg","203487",120,"500MLPLBTN18X1 VIO BY APOLLINARIS","1.5LPLBTN6X1 VIOSPRITZIG",116060,549288,2.09406719024521,2.91201956276756,NA,70,150
"200030","0280","Lüneburg","203487",120,"500MLPLBTN18X1 VIO BY APOLLINARIS","1.5LPLBTN6X1 VIOSPRITZIG",116060,549288,2.09406719024521,2.91201956276756,NA,90,150
"200030","0280","Lüneburg","203487",120,"500MLPLBTN18X1 VIO BY APOLLINARIS","1.5LPLBTN6X1 VIOSPRITZIG",116060,1234224,2.09406719024521,2.91201956276756,NA,70,150
"200030","0280","Lüneburg","203487",120,"500MLPLBTN18X1 VIO BY APOLLINARIS","1.5LPLBTN6X1 VIOSPRITZIG",116060,1234224,2.09406719024521,2.91201956276756,NA,90,150
"200030","0280","Lüneburg","200030",0,"500MLPLBTN18X1 VIO BY APOLLINARIS","500MLPLBTN18X1 VIO BY APOLLINARIS",1234224,549288,2.09406719024521,2.91201956276756,NA,70,150
"200030","0280","Lüneburg","200030",0,"500MLPLBTN18X1 VIO BY APOLLINARIS","500MLPLBTN18X1 VIO BY APOLLINARIS",1234224,549288,2.09406719024521,2.91201956276756,NA,90,150
"200030","0280","Lüneburg","200030",0,"500MLPLBTN18X1 VIO BY APOLLINARIS","500MLPLBTN18X1 VIO BY APOLLINARIS",1234224,1234224,2.09406719024521,2.91201956276756,NA,70,150
"200030","0280","Lüneburg","200030",0,"500MLPLBTN18X1 VIO BY APOLLINARIS","500MLPLBTN18X1 VIO BY APOLLINARIS",1234224,1234224,2.09406719024521,2.91201956276756,NA,90,150
"200030","0280","Lüneburg","200030",0,"500MLPLBTN18X1 VIO BY APOLLINARIS","500MLPLBTN18X1 VIO BY APOLLINARIS",549288,549288,2.09406719024521,2.91201956276756,NA,70,150
"200030","0280","Lüneburg","200030",0,"500MLPLBTN18X1 VIO BY APOLLINARIS","500MLPLBTN18X1 VIO BY APOLLINARIS",549288,549288,2.09406719024521,2.91201956276756,NA,90,150
"200030","0280","Lüneburg","200030",0,"500MLPLBTN18X1 VIO BY APOLLINARIS","500MLPLBTN18X1 VIO BY APOLLINARIS",549288,1234224,2.09406719024521,2.91201956276756,NA,70,150
"200030","0280","Lüneburg","200030",0,"500MLPLBTN18X1 VIO BY APOLLINARIS","500MLPLBTN18X1 VIO BY APOLLINARIS",549288,1234224,2.09406719024521,2.91201956276756,NA,90,150
"200030","0280","Lüneburg","202723",120,"500MLPLBTN18X1 VIO BY APOLLINARIS","1LPLBTN6X1 VIO BY APOLLINARIS",219828,549288,2.09406719024521,2.91201956276756,NA,70,150
